gene,D3,K2
A1BG,47,92
A1BG-AS1,18,3
A1CF,1,0
A2M,0,1
A2M-AS1,3,0
A2ML1,0,1
A2MP1,0,0
A3GALT2,0,0
A4GALT,248,174
A4GNT,1,0
AA06,0,0
AAAS,1024,1334
AACS,825,1127
AACSP1,0,0
AADAC,8,3
AADACL2,0,0
AADACL2-AS1,0,0
AADACL3,0,0
AADACL4,0,0
AADACP1,16,1
AADAT,292,61
AAED1,484,491
AAGAB,2063,1318
AAK1,1476,443
AAMDC,184,333
AAMP,2397,1730
AANAT,1,1
AAR2,1437,862
AARD,0,0
AARS,18692,7364
AARS2,377,81
AARSD1,0,0
AASDH,786,206
AASDHPPT,1312,248
AASS,86,63
AATBC,7,13
AATF,2643,3395
AATK,7,0
AATK-AS1,0,0
ABALON,84,53
ABAT,97,21
ABCA1,1669,913
ABCA10,104,94
ABCA11P,75,51
ABCA12,3,0
ABCA13,13,18
ABCA17P,0,5
ABCA2,2471,751
ABCA3,649,191
ABCA4,1,0
ABCA5,2,3
ABCA6,194,55
ABCA7,199,174
ABCA8,335,100
ABCA9,66,16
ABCA9-AS1,0,0
ABCB1,24,19
ABCB10,950,152
ABCB11,3,0
ABCB4,3,1
ABCB5,0,0
ABCB6,434,146
ABCB7,727,1442
ABCB8,418,286
ABCB9,42,47
ABCC1,2116,1176
ABCC10,566,287
ABCC11,1,3
ABCC12,0,1
ABCC13,0,0
ABCC2,811,1315
ABCC3,7834,7484
ABCC4,1432,755
ABCC5,564,403
ABCC5-AS1,0,0
ABCC6,1,2
ABCC6P1,0,0
ABCC6P2,0,0
ABCC8,0,2
ABCC9,125,17
ABCD1,164,34
ABCD2,56,11
ABCD3,1279,670
ABCD4,335,253
ABCE1,6649,4306
ABCF1,57,95
ABCF2,4367,3197
ABCF3,1276,1303
ABCG1,2599,979
ABCG2,168,103
ABCG4,2,0
ABCG5,0,0
ABCG8,2,0
ABHD1,6,10
ABHD10,573,165
ABHD11,163,69
ABHD11-AS1,0,2
ABHD12,989,919
ABHD12B,0,0
ABHD13,507,67
ABHD14A,115,86
ABHD14A-ACY1,0,0
ABHD14B,1006,1295
ABHD15,212,12
ABHD16A,8,19
ABHD16B,11,1
ABHD17A,158,249
ABHD17B,395,151
ABHD17C,323,81
ABHD2,4718,3160
ABHD3,324,160
ABHD4,783,1052
ABHD5,669,474
ABHD6,468,166
ABHD8,96,41
ABI1,816,1061
ABI2,2455,1071
ABI3,1,0
ABI3BP,6934,4990
ABL1,3861,912
ABL2,2216,1777
ABLIM1,615,295
ABLIM2,1308,1594
ABLIM3,2702,1988
ABO,0,0
ABR,1106,529
ABRA,0,0
ABRACL,569,662
ABT1,447,345
ABTB1,149,92
ABTB2,1370,1603
ACAA1,363,594
ACAA2,677,689
ACACA,4559,3092
ACACB,49,39
ACAD10,548,222
ACAD11,63,31
ACAD8,435,317
ACAD9,603,441
ACADL,13,6
ACADM,927,287
ACADS,62,52
ACADSB,353,93
ACADVL,2178,2791
ACAN,5,1
ACAP1,14,14
ACAP2,3335,1065
ACAP3,491,417
ACAT1,1707,2161
ACAT2,353,531
ACBD3,1513,1729
ACBD4,229,97
ACBD5,1466,713
ACBD6,1374,1311
ACBD7,128,34
ACCS,183,99
ACCSL,0,1
ACD,687,533
ACE,1,0
ACE2,4,0
ACER1,2,1
ACER2,6,0
ACER3,902,303
ACHE,0,3
ACIN1,2313,4108
ACKR1,92,76
ACKR2,2,0
ACKR3,29,217
ACKR4,7,1
ACLY,8041,3994
ACMSD,0,0
ACO1,2414,2130
ACO2,1863,2308
ACOT1,46,8
ACOT11,10,1
ACOT12,2,0
ACOT13,974,676
ACOT2,143,53
ACOT4,10,2
ACOT6,0,0
ACOT7,894,1258
ACOT8,187,150
ACOT9,1035,985
ACOX1,922,602
